URL,Anchor Text,Status Code,Status Text
"https://tinyurl.com/ycz6q9z8","https://tinyurl.com/ycz6q9z8","408","Request Timeout"
"https://www.aurorahealthcare.org/aurora-research-institute/clinical-trials","https://www.aurorahealthcare.org/aurora-research-institute/clinical-trials","404","Not Found"
"https://tinyurl.com/yapu4hcv","https://tinyurl.com/yapu4hcv","404","Not Found"
"https://www.clinicaltrialsgps.com/texas/dallas/baylor-university-medical-center/facility-358/","https://www.clinicaltrialsgps.com/texas/dallas/baylor-university-medical-center/facility-358/","0","Network Error"
"https://tinyurl.com/y8yhwrsg","https://tinyurl.com/y8yhwrsg","408","Request Timeout"
"https://my.clevelandclinic.org/departments/cancer/research-innovations/cancer-clinical-trial-results?disease=Sarcoma","https://my.clevelandesearchclinic.org/departments/cancer/r-innovations/search-cancer-clinical-trials","408","Request Timeout"
"https://tinyurl.com/ybd5vwne","https://tinyurl.com/ybd5vwne","408","Request Timeout"
"https://www.fredhutch.org/en/treatment/clinical-trials/list.290.html","https://www.fredhutch.org/en/treatment/clinical-trials.html","404","Not Found"
"https://tinyurl.com/y8zxclkz","https://tinyurl.com/y8zxclkz","404","Not Found"
"https://www.hoag.org/specialties-services/cancer/conditions/bone-soft-tissue-sarcoma/clinical-trials-research/","https://www.hoag.org/specialties-services/cancer/conditions/bone-soft-tissue-sarcoma/clinical-trials-research/","404","Not Found"
"https://tinyurl.com/y9lbr72k","https://tinyurl.com/y9lbr72k","404","Not Found"
"https://smrs.healthcare.uiowa.edu/sip-mobile/flowchart.html","https://smrs.healthcare.uiowa.edu/sip-mobile/flowchart.html","0","Network Error"
"https://tinyurl.com/y7mpyl3z","https://tinyurl.com/y7mpyl3z","0","Network Error"
"https://www.clinicaltrialsgps.com/iowa/","https://www.clinicaltrialsgps.com/iowa/","0","Network Error"
"https://tinyurl.com/y98bz6wd","https://tinyurl.com/y98bz6wd","0","Network Error"
"https://www.clinicaltrialsgps.com/maryland/baltimore/alvin-and-lois-lapidus-cancer-institute-at-sinai-hospital/facility-685/","https://www.clinicaltrialsgps.com/maryland/baltimore/alvin-and-lois-lapidus-cancer-institute-sinai-hospital-of-baltimore/fac","0","Network Error"
"https://www.clinicaltrialsgps.com/new-york/n","https://www.clinicaltrialsgps.com/new-york/new-york/memorial-sloan-kettering-cancer-center/facility-3576/","0","Network Error"
"https://www.clinicaltrialsgps.com/new-york/lake-success/monter-cancer-center/facility-33278/","https://www.clinicaltrialsgps.com/new-york/lake-success/monter-cancer-center/facility-33278/","0","Network Error"
"https://www.clinicaltrialsgps.com/nebraska/o","https://www.clinicaltrialsgps.com/nebraska/omaha/nebraska-methodist-hospital-cancer-center/facility-160988/","0","Network Error"
"http://www.methodistclinicaltrials.com/trial-categories/sarcoma/","http://www.methodistclinicaltrials.com/trial-categories/sarcoma/","0","Network Error"
"https://oncoretrials.northside.com/sip/SIPMain","clinicaltrials@northside.com","0","Network Error"
"https://tinyurl.com/yaxx8b4x","https://tinyurl.com/yaxx8b4x","0","Network Error"
"https://sarcomaoncology.com/cancer-clinical","https://sarcomaoncology.com/cancer-clinical-trials/","404","Not Found"
"https://www.clinicaltrialsgps.com/missouri/st","https://www.clinicaltrialsgps.com/missouri/st-louis/siteman-cancer-center/facility-14121/","0","Network Error"
"http://www.ucdenver.edu/academics/colleges/medicalschool/centers/cancercenter/clinicaltrials/Pages/ClinicalTrials.aspx","http://www.ucdenver.edu/academics/colleges/medicalschool/centers/cancercenter/clinicaltrials/Pages/ClinicalTrials.aspx","404","Not Found"
"https://www.umms.org/umgccc/cancer-services/cancer-care/research-clinical-trials/clinical-trials","https://www.umms.org/umgccc/cancer-services/cancer-care/research-clinical-trials/clinical-trials","404","Not Found"
"https://www.rogelcancercenter.org/clinical-trials","https://www.rogelcancercenter.org/clinical-trials","404","Not Found"
"https://tinyurl.com/ybsgr375%20","https://tinyurl.com/ybsgr375","404","Not Found"
"https://clinicaltrial.cancer.umn.edu/sip/#","https://omis.cancer.umn.edu/research/clinicaltrials/","0","Network Error"
"https://tinyurl.com/ycpwmu8x","https://tinyurl.com/ycpwmu8x","0","Network Error"
"https://tinyurl.com/y8dcoaff","https://tinyurl.com/y8dcoaff","404","Not Found"
"https://oncore.unc.edu/sip/SIPControlServlet?hdn_function=SIP_PROTOCOL_LISTINGS&disease_site=Soft%20Tissue","https://unclineberger.org/patientcare/clinical-trials","404","Not Found"
"https://tinyurl.com/y8kukw3g","https://tinyurl.com/y8kukw3g","404","Not Found"
"https://research.unc.edu/clinical-trials/","https://research.unc.edu/clinical-trials/","404","Not Found"
"https://oncoreapp.mcvh-vcu.edu/SIPMassey.html","https://www.massey.vcu.edu","0","Network Error"
"https://oncoreapp.mcvh-vcu.edu/SIPMassey.html","https://oncoreapp.mcvh-vcu.edu/SIPMassey.html","0","Network Error"
"https://www.clinicaltrialsgps.com/clinical-trials/facilities-in-anaheim-ca/","https://www.clinicaltrialsgps.com/north-carolina/winston-salem/comprehensive-cancer-center-of-wake-forest-university/fac","0","Network Error"
"http://www1.wakehealth.edu/BeInvolved/Search.aspx?area=Cancer:%20Other","http://www1.wakehealth.edu/BeInvolved/Search.aspx?area=Cancer:%20Other","0","Network Error"
"http://wvucancer.org/clinical-research/","http://wvucancer.org/clinical-research/","404","Not Found"
"https://tinyurl.com/y8gdn9yr","https://tinyurl.com/y8gdn9yr","403","Forbidden"
"https://leiomyosarcoma.info/?p=1174/#comment-4","International LMS Research Roundtable","404","Not Found"
"https://leiomyosarcoma.info/xmlrpc.php","pingback","0","Network Error"
"https://leiomyosarcoma.info/xmlrpc.php?rsd","EditURI","0","Network Error"
